iter	Passed	Remaining
0	0	32
1	0	33
2	0	32
3	1	29
4	1	28
5	1	27
6	2	28
7	2	29
8	2	28
9	3	27
10	3	26
11	3	26
12	3	26
13	4	26
14	4	26
15	4	26
16	5	25
17	5	25
18	6	25
19	6	25
20	6	24
21	6	24
22	7	24
23	7	24
24	8	24
25	8	24
26	9	24
27	9	24
28	9	24
29	10	24
30	10	23
31	10	22
32	11	22
33	11	22
34	12	22
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	15	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	14
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	32	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
